title,roles,status
Bec Applebee,performer,draft
Stu Barker,"musician,composer",draft
Nandi Bhebhe,performer,draft
Jim Carey,"musician,composer",draft
Paul Crewes,producer,draft
Steph Curtis,production-stage-management,draft
Tim Dalling,"musician,composer",draft
Rina Fatania,performer,draft
Kyla Goodey,performer,draft
Carl Grose,"performer,writer",draft
Charles Hazlewood,composer,draft
Sue Hill,"management-team,artist",draft
Craig Johnson,performer,draft
Giles King,performer,draft
Patrycja Kuwaska,performer,draft
Dom Lawton,"composer,theatre-maker",draft
Robbi Luckay,performer,draft
Bill Mitchell,designer,draft
Anna Maria Murphy,"performer,writer,creator-of-the-rambles-project",draft
Dave Mynne,performer,draft
Katy Owen,performer,draft
Emma Rice,performer,draft
Malcolm Rippeth,lighting-designer,draft
Ian Ross,"musician,composer",draft
Mike Shepherd,"founder,performer,director",draft
Tristan Sturrock,performer,draft
Steve Tanner,photographer,draft
Brett Harvey,filmmaker,draft
Kirsty Woodward,performer,draft
Mary Woodvine,performer,draft
Sarah Wright,"performer,puppet-designer,prop-designer",draft
Tom Jackson Greaves,"choreographer,director,performer",draft
